Gender,ParentMaritalStatus,Maths,Reading,Writing
female,single,66,74,72
male,single,64,70,65
male,,78,72,67
female,married,72,80,75
male,married,62,61,57
female,married,76,93,95
male,divorced,92,76,79
female,married,52,65,69
male,married,67,57,53
female,married,61,76,78
female,married,45,57,57
female,married,55,68,66
female,single,64,74,73
male,married,63,61,61
female,married,40,65,67
female,divorced,77,88,87
female,married,56,61,57
male,single,87,85,79
female,single,53,58,59
female,single,26,33,31
male,divorced,60,60,59
male,married,51,59,62
male,married,69,58,53
male,married,64,67,63
female,single,44,64,58
female,single,71,83,84
male,married,86,78,72
female,single,45,73,70
male,single,76,75,73
female,married,84,98,97
female,married,60,71,74
female,single,82,91,83
female,single,85,95,100
female,single,73,84,78
male,married,67,64,63
female,single,80,86,83
male,divorced,84,98,93
male,married,79,82,73
female,divorced,40,50,47
female,divorced,35,41,40
female,divorced,69,77,76
female,single,62,71,68
female,widowed,58,79,68
female,single,62,64,64
male,married,71,70,75
male,single,75,68,60
female,single,74,66,75
male,married,78,68,68
male,divorced,60,55,58
female,single,65,74,77
female,married,48,65,61
male,single,73,62,57
male,single,56,57,51
female,married,60,54,68
male,married,53,43,43
female,married,51,66,57
female,single,88,99,100
female,single,55,59,63
female,married,62,72,68
male,married,68,66,65
female,married,84,81,78
female,divorced,52,57,56
male,widowed,86,83,84
female,,72,73,78
male,widowed,86,84,79
male,married,71,66,60
female,married,52,73,80
male,single,86,74,70
male,married,68,72,66
male,married,71,71,65
male,married,70,59,63
male,married,57,56,54
female,married,56,57,64
female,divorced,47,59,68
female,married,57,83,78
male,married,41,39,34
female,single,60,65,60
male,married,88,84,88
male,single,71,72,66
male,single,65,59,53
male,married,70,63,55
male,married,62,65,57
female,single,61,72,70
male,single,57,54,52
female,divorced,45,58,49
male,married,75,66,67
male,married,50,48,53
male,married,77,69,65
male,divorced,75,66,73
male,single,69,55,51
male,married,89,88,82
female,single,69,82,80
female,married,78,81,80
female,married,59,73,69
female,,70,81,74
male,married,79,82,73
female,divorced,69,75,78
male,,73,67,62
male,single,91,83,83
male,widowed,48,46,43
male,single,83,74,73
female,divorced,64,85,85
female,married,100,92,97
female,married,68,79,77
male,married,64,57,48
female,,54,61,63
male,married,37,56,47
female,divorced,79,89,89
male,single,54,54,49
female,married,100,100,100
male,married,72,65,68
male,married,52,57,55
male,married,54,54,45
female,divorced,68,68,74
female,widowed,77,90,91
male,divorced,75,58,62
female,married,84,87,91
female,divorced,26,31,38
male,married,76,69,67
female,single,79,89,87
male,married,93,75,77
female,divorced,83,85,90
female,married,62,68,74
female,married,68,86,84
female,married,57,66,60
female,single,90,90,91
female,,73,77,84
male,single,76,62,66
male,married,80,68,72
female,single,53,64,70
male,single,78,72,68
male,married,73,71,68
female,married,52,59,56
male,married,70,69,62
male,divorced,59,52,46
female,single,48,51,54
male,married,67,72,69
male,married,61,47,56
female,married,60,75,74
male,divorced,65,53,58
male,,76,80,79
female,married,64,84,76
female,divorced,64,64,70
female,married,83,83,90
female,married,78,86,88
female,divorced,53,63,68
male,divorced,68,64,66
female,married,53,47,52
female,,59,78,76
male,married,73,69,70
female,married,74,80,84
female,married,91,85,90
male,divorced,63,61,54
female,married,100,91,96
female,single,41,61,57
female,married,79,80,78
male,married,70,71,67
male,single,79,78,77
female,married,88,93,89
male,married,76,71,73
male,,62,49,42
male,married,61,48,52
female,divorced,55,61,63
female,single,77,97,94
female,married,76,87,85
female,married,74,89,84
female,divorced,64,72,71
female,single,67,79,79
female,married,67,78,79
male,married,71,49,52
female,single,91,86,84
male,married,71,58,58
male,widowed,56,61,52
male,married,53,52,49
male,single,70,60,60
male,single,54,60,58
female,divorced,36,53,43
female,single,28,40,46
female,married,60,72,68
female,married,68,67,73
female,married,45,53,51
male,single,60,60,56
female,married,79,88,94
male,married,75,70,69
female,married,66,83,83
male,single,47,58,55
female,married,49,65,60
male,,82,65,69
male,married,99,93,87
male,married,75,69,68
male,single,76,80,78
female,divorced,83,78,80
female,single,86,97,93
female,married,64,63,66
male,married,80,84,82
female,married,92,100,97
male,divorced,71,66,64
female,married,61,66,64
male,married,77,72,69
male,,76,74,63
male,married,89,91,90
female,married,38,47,48
male,married,79,62,65
male,divorced,56,46,41
female,single,33,40,34
male,single,63,69,69
female,single,51,68,68
male,married,75,66,63
female,divorced,74,75,79
female,single,66,76,77
male,married,95,89,92
female,divorced,63,80,80
male,married,46,50,45
male,divorced,46,42,44
female,single,89,98,97
female,married,61,72,80
male,married,62,47,47
male,single,70,69,68
male,divorced,73,76,71
male,married,88,94,89
female,single,54,62,57
female,,50,66,64
female,,76,82,72
male,married,40,55,53
male,married,61,51,52
female,married,78,89,87
female,single,49,56,59
female,married,52,60,68
female,married,78,95,94
female,divorced,74,77,78
female,widowed,63,73,78
female,single,75,76,81
female,married,55,73,73
female,married,43,62,62
female,,53,63,65
female,single,48,66,65
male,widowed,56,56,52
male,widowed,67,61,48
male,married,65,66,62
female,married,74,76,73
female,married,94,100,100
female,married,57,80,73
male,married,30,24,15
male,married,51,53,46
female,married,71,78,74
female,single,65,82,81
female,single,52,60,63
female,divorced,29,29,30
female,married,76,78,80
male,married,60,57,51
male,married,81,87,88
male,divorced,72,70,60
female,,82,82,79
female,married,40,59,55
female,divorced,59,63,60
female,married,57,62,65
male,married,69,60,63
female,married,56,58,64
male,married,91,88,89
female,married,82,93,93
female,married,60,68,72
female,single,37,45,38
male,,88,78,83
male,married,95,82,86
male,married,61,70,64
female,single,36,61,55
male,single,63,63,57
male,married,59,51,53
male,divorced,97,94,83
female,married,60,57,62
male,married,99,96,99
male,divorced,66,68,61
male,divorced,61,48,46
male,married,50,57,47
female,married,45,51,56
male,single,64,63,68
male,widowed,81,60,66
female,married,67,75,82
female,married,75,88,85
male,married,71,74,64
female,single,75,89,84
male,married,88,77,75
female,single,73,72,71
male,single,42,52,52
female,,76,89,91
female,married,67,78,75
female,single,76,80,82
male,single,67,64,58
female,married,63,79,78
female,married,62,72,67
female,single,62,61,66
female,single,51,53,56
female,divorced,66,77,78
male,single,52,56,54
female,married,70,81,77
female,married,82,84,96
female,single,65,70,74
female,divorced,73,79,79
female,married,62,67,67
male,married,79,68,65
male,married,71,66,62
female,married,43,60,58
male,divorced,90,87,85
male,married,70,65,61
female,divorced,54,70,69
female,,65,69,67
male,married,82,63,64
female,single,50,60,60
female,married,63,73,71
female,married,74,83,85
male,single,75,75,62
male,single,81,72,77
female,married,62,73,64
male,married,50,56,49
female,married,71,79,77
female,married,65,84,84
female,divorced,71,78,79
female,married,50,64,66
female,divorced,73,78,76
female,single,72,83,77
male,married,83,76,79
male,divorced,63,61,60
female,divorced,66,71,74
male,divorced,63,55,55
female,divorced,29,40,45
male,married,61,65,68
female,single,97,100,100
male,single,85,75,68
male,divorced,81,80,76
male,divorced,53,58,44
male,married,93,90,83
female,married,47,52,51
female,married,70,74,76
female,divorced,67,75,82
female,married,79,78,74
female,single,49,63,56
female,married,81,90,87
female,married,72,80,88
female,,57,70,68
female,married,57,78,79
male,divorced,64,65,57
female,single,81,82,84
female,married,55,65,70
male,married,86,83,87
female,married,61,63,65
female,married,57,62,62
male,single,63,73,66
male,married,47,34,36
male,married,66,59,52
male,married,83,84,75
female,divorced,42,61,58
male,divorced,93,84,90
female,divorced,80,85,85
female,married,98,100,99
male,divorced,79,81,84
female,married,63,72,77
female,married,75,93,87
male,divorced,68,75,68
female,single,96,96,99
female,widowed,78,77,75
male,divorced,85,70,76
female,married,63,73,71
male,married,56,59,60
female,single,73,89,88
male,married,51,48,43
male,divorced,48,43,41
male,married,76,71,67
female,single,66,76,78
male,married,70,51,58
female,single,70,90,82
male,single,52,38,37
female,divorced,65,75,78
male,divorced,53,45,42
female,married,86,88,93
male,divorced,55,47,44
female,married,52,57,56
male,married,64,56,57
male,married,94,80,86
female,married,53,66,73
male,married,81,71,73
male,married,62,60,56
male,married,79,72,71
female,married,37,57,56
female,married,81,84,82
female,married,59,73,72
male,married,56,55,48
male,,71,78,74
male,married,71,76,72
male,married,69,64,68
female,married,50,60,59
male,married,87,84,86
male,married,71,69,68
male,,67,71,64
male,single,77,77,75
female,married,77,90,85
male,single,59,55,54
female,married,86,96,93
male,married,56,58,53
male,married,70,68,72
female,married,53,59,66
male,,69,77,77
female,married,53,72,64
female,,48,58,54
male,single,75,79,83
female,divorced,60,61,61
male,married,60,63,59
female,married,74,72,72
female,widowed,57,74,77
male,single,76,62,60
female,married,67,70,74
male,,56,59,55
male,,50,47,48
male,married,79,75,77
female,married,48,65,68
female,married,62,78,79
male,single,64,64,58
female,married,48,57,55
female,single,65,71,70
female,single,36,44,44
female,married,74,80,83
male,widowed,96,86,84
female,,47,56,58
female,married,75,90,84
female,married,76,85,82
female,married,52,59,62
male,married,88,79,77
female,married,32,51,44
female,married,74,80,78
female,single,18,37,32
male,single,70,65,62
female,married,52,65,61
female,,49,62,61
female,divorced,63,67,73
male,married,65,73,69
male,married,83,81,73
female,widowed,43,52,52
female,divorced,58,69,74
male,divorced,70,70,70
female,married,70,84,81
male,married,69,60,54
female,married,50,54,55
male,,67,73,68
female,married,84,86,89
female,,70,74,76
male,divorced,72,79,72
female,single,62,72,73
female,divorced,42,45,40
male,married,90,75,69
male,married,59,54,51
male,married,51,31,36
male,single,46,47,49
female,married,53,63,67
male,married,89,85,77
female,married,74,81,84
male,married,96,87,89
male,married,62,71,77
female,,60,72,68
female,married,74,89,86
female,divorced,85,90,92
male,married,50,52,52
female,widowed,49,58,53
male,single,61,66,58
female,,56,68,70
female,married,64,68,76
male,married,67,53,53
female,single,64,61,59
female,married,76,87,91
male,divorced,63,59,57
male,single,59,50,46
female,single,61,64,75
male,single,77,65,59
female,married,79,84,82
male,divorced,57,56,53
female,divorced,39,52,46
male,married,65,58,52
female,married,23,44,36
male,single,76,78,77
female,single,39,64,64
male,divorced,88,85,84
male,married,91,85,85
female,married,60,73,69
male,single,82,76,70
male,married,69,67,67
female,married,59,66,61
female,married,86,84,93
male,married,77,65,58
male,,62,64,55
female,married,96,96,96
male,married,77,69,66
female,married,66,80,83
male,divorced,53,49,47
male,married,87,73,72
female,divorced,51,61,51
female,married,83,87,88
male,single,37,41,37
female,single,70,70,80
male,married,99,94,93
male,married,79,80,85
male,divorced,60,41,41
male,married,80,75,73
male,married,51,52,53
male,married,59,58,47
male,married,82,84,78
male,married,84,87,78
female,married,41,61,59
male,married,80,64,66
male,married,81,82,84
male,married,57,61,54
female,single,60,73,82
female,married,64,76,74
male,married,61,63,64
female,single,70,69,70
female,married,67,75,74
male,married,56,46,44
female,single,47,49,51
female,married,62,76,80
female,married,98,100,99
female,married,69,65,74
male,divorced,42,50,47
female,married,88,86,93
female,married,87,93,87
female,married,50,68,75
male,divorced,90,75,76
female,divorced,55,60,65
female,divorced,32,34,38
male,,37,29,27
female,single,62,77,79
male,married,64,53,61
female,single,65,78,82
male,married,85,84,89
female,married,73,79,76
female,married,32,47,40
female,divorced,93,100,100
female,divorced,69,85,86
male,single,82,74,73
male,married,56,47,51
female,single,83,86,95
female,divorced,67,75,72
male,married,67,63,68
male,divorced,50,42,48
female,married,71,85,84
female,married,52,61,66
female,single,46,61,66
female,married,47,61,56
female,married,70,71,67
male,single,100,100,100
female,married,43,60,52
female,married,58,78,82
male,married,91,96,91
male,married,71,71,68
male,married,71,65,66
female,single,54,65,65
male,married,74,70,69
male,divorced,76,64,61
male,married,64,56,52
female,married,66,61,72
male,married,46,43,44
female,,45,54,48
male,married,61,56,62
male,divorced,62,72,74
male,divorced,67,73,72
male,married,100,88,91
male,divorced,72,63,59
male,divorced,64,56,51
female,married,56,57,57
male,married,85,81,85
male,divorced,79,69,70
male,married,70,66,72
female,married,81,94,100
male,married,80,65,64
male,single,61,62,61
female,married,56,66,59
female,divorced,55,61,59
male,married,79,80,78
female,married,47,57,58
male,single,48,49,52
female,,58,76,74
male,married,91,71,69
female,single,77,78,85
female,married,74,74,72
male,single,58,52,54
female,married,60,67,67
male,married,76,58,64
male,married,86,88,83
female,divorced,92,100,100
female,divorced,44,62,59
male,single,75,81,71
female,single,57,58,65
female,single,49,54,54
female,single,100,100,100
female,married,63,74,73
male,married,72,57,58
female,single,63,71,73
male,divorced,67,69,65
male,married,59,61,57
female,single,70,77,68
female,divorced,72,82,78
female,widowed,91,100,100
male,single,82,74,72
female,married,54,50,61
female,divorced,48,64,61
female,married,52,62,65
male,married,60,64,56
male,married,54,40,48
female,married,91,95,94
female,married,8,24,23
male,married,83,79,79
male,married,76,83,84
female,married,82,89,95
female,married,72,74,81
male,married,56,50,54
female,,38,58,49
male,married,83,76,77
female,single,41,44,43
female,married,69,87,85
male,married,88,82,76
female,married,66,83,79
female,married,55,76,76
female,single,62,72,74
male,married,66,64,64
female,married,86,99,95
male,single,61,54,55
female,married,59,71,65
female,divorced,68,78,77
female,married,81,88,89
female,divorced,72,86,82
female,single,88,96,98
female,,60,73,66
male,single,74,57,63
male,married,64,52,54
female,single,60,65,69
male,married,63,72,73
female,divorced,74,86,81
female,married,48,71,76
female,married,72,63,62
male,,99,99,100
male,married,59,61,52
female,married,81,81,88
male,single,68,57,62
male,divorced,95,79,75
male,single,88,94,96
male,married,80,71,66
female,single,42,46,46
male,married,80,77,79
female,married,52,64,68
female,single,79,82,86
female,single,62,83,81
female,married,74,82,85
male,married,65,70,64
female,married,70,76,76
male,married,64,64,52
female,single,72,88,89
female,single,61,57,59
female,single,75,79,80
male,married,65,69,68
female,married,59,76,77
female,married,52,67,68
male,married,49,38,39
female,divorced,100,100,100
female,married,45,53,55
female,divorced,70,78,80
male,divorced,77,69,71
male,single,72,63,62
female,married,77,83,90
female,single,86,96,95
male,divorced,74,66,72
female,married,100,100,100
male,married,78,68,68
female,,73,81,79
male,single,59,49,43
male,married,71,64,59
male,married,38,39,37
male,married,62,69,61
male,married,72,76,69
male,single,68,69,64
female,single,47,72,68
male,married,48,50,46
female,divorced,29,45,46
female,married,49,61,61
female,married,36,35,35
female,divorced,70,74,73
female,divorced,58,71,71
female,married,44,54,49
male,married,77,83,70
male,married,57,50,45
female,single,57,70,66
female,married,63,78,80
female,married,56,74,74
male,married,82,73,72
male,married,58,53,48
male,widowed,78,63,64
female,married,59,68,68
male,married,72,65,71
female,married,69,76,69
male,married,66,55,63
female,married,56,69,62
male,single,81,79,76
female,married,60,73,68
female,married,65,85,95
female,married,62,70,67
female,divorced,32,48,51
male,married,71,55,61
male,married,57,59,49
female,widowed,57,65,70
male,married,48,43,37
female,married,67,81,80
male,married,70,69,61
female,married,73,86,86
male,single,36,42,39
male,married,100,98,93
male,widowed,66,68,65
female,married,26,36,36
male,married,52,53,51
female,married,61,64,59
male,single,66,64,59
female,single,70,75,69
male,married,65,67,75
male,married,79,73,74
female,single,53,69,63
male,married,62,62,58
male,married,71,72,69
female,divorced,72,67,68
female,married,55,64,68
female,married,70,88,94
female,,72,79,76
male,married,78,87,76
female,divorced,77,91,92
female,single,64,76,75
female,married,55,65,61
female,married,61,79,78
female,single,88,95,97
male,widowed,50,50,48
female,married,79,77,81
male,married,49,47,46
female,single,46,54,60
female,single,57,65,70
female,married,58,64,63
female,single,44,50,48
male,single,80,74,77
male,married,70,63,55
female,married,65,83,77
female,,65,73,75
male,married,74,62,71
female,widowed,81,82,84
female,widowed,55,61,59
female,married,52,66,60
male,single,54,59,46
male,single,86,91,89
female,single,71,75,84
male,divorced,61,51,54
female,married,56,58,58
male,divorced,76,80,73
female,married,52,69,71
male,single,47,53,52
male,married,84,90,87
female,single,91,95,100
male,married,83,81,77
male,married,99,87,92
male,divorced,65,59,59
female,single,55,59,65
female,married,69,80,75
male,married,73,62,56
male,single,36,51,42
female,widowed,63,78,70
female,married,66,75,72
female,married,69,77,71
male,single,58,61,62
male,single,58,51,48
female,married,61,73,71
female,married,77,87,79
female,divorced,52,59,63
male,widowed,90,90,82
female,single,66,76,79
female,divorced,71,87,87
female,single,60,67,61
female,widowed,45,46,49
male,married,72,71,73
male,,64,65,60
male,married,72,65,62
male,married,56,67,51
male,married,67,76,64
female,married,64,92,92
male,divorced,74,66,71
male,married,54,63,53
female,,54,58,53
female,married,52,66,63
male,,80,76,77
female,married,57,77,72
female,married,47,52,50
female,,58,73,68
male,married,53,52,49
male,married,75,69,69
female,divorced,59,72,72
female,married,39,58,55
male,single,80,91,88
female,single,80,75,77
male,divorced,67,63,53
male,married,63,61,60
male,married,78,78,69
male,divorced,73,76,76
female,married,51,70,71
male,single,76,68,68
male,divorced,68,70,79
male,married,93,87,74
female,divorced,62,69,69
male,married,68,63,60
female,married,55,68,74
female,divorced,57,75,75
female,divorced,56,57,61
female,married,46,53,51
male,married,53,50,38
male,single,80,78,74
female,married,38,54,49
male,single,77,67,68
male,single,82,74,83
female,divorced,43,58,46
male,married,61,56,55
female,divorced,81,94,95
male,single,62,63,67
female,single,53,69,70
male,married,76,82,72
female,married,61,83,82
female,married,48,66,63
male,single,68,62,71
male,single,93,92,86
male,divorced,55,55,46
female,married,41,63,56
male,divorced,76,63,68
female,divorced,67,80,87
male,married,47,46,39
female,married,63,67,73
male,married,52,51,51
female,single,82,85,90
male,widowed,87,82,79
female,single,40,60,54
male,divorced,64,45,44
female,single,87,94,91
female,married,64,72,75
female,single,57,68,67
male,married,69,67,66
male,divorced,76,57,60
female,single,74,82,76
male,,62,62,63
female,married,53,73,61
female,married,44,64,64
female,single,56,70,63
female,married,32,56,51
male,married,67,61,63
male,married,83,76,67
female,married,59,62,59
female,married,63,62,60
female,married,42,64,63
male,,41,43,38
male,married,94,97,92
male,married,56,60,62
female,single,70,78,74
female,married,41,55,57
female,single,72,79,86
female,married,89,83,93
male,married,82,79,74
female,,66,79,79
female,married,86,93,90
male,married,67,80,67
female,single,65,66,68
female,married,81,92,99
female,married,45,52,50
male,married,76,62,61
female,single,75,85,80
male,married,61,70,69
female,single,70,78,78
female,divorced,74,80,84
male,divorced,73,73,72
male,married,62,67,60
male,married,53,58,59
female,single,66,68,65
female,single,53,59,56
female,married,26,48,37
female,married,82,75,87
male,married,67,56,50
male,married,81,76,77
male,married,89,81,77
male,single,71,73,68
male,married,83,74,74
female,married,29,49,50
female,married,74,85,80
female,married,73,77,75
male,divorced,95,93,91
female,single,36,46,43
male,single,57,53,52
male,divorced,85,76,75
female,single,77,79,82
male,married,86,72,77
female,divorced,86,83,89
male,married,65,63,66
female,married,53,66,58
male,married,78,76,72
female,married,55,71,73
male,single,54,56,57
female,married,52,55,57
male,married,82,86,84
female,divorced,52,73,68
male,single,78,69,67
female,married,57,72,66
female,single,59,81,79
female,single,62,74,73
female,widowed,80,79,79
male,single,51,48,46
male,single,45,44,51
male,married,74,67,69
male,single,72,69,70
female,married,60,72,66
female,married,70,77,76
male,single,63,61,62
male,single,42,48,38
female,single,38,48,50
female,single,61,66,68
female,married,48,61,49
male,married,71,65,63
male,,58,63,60
male,single,64,52,52
female,single,44,57,53
male,married,57,47,44
male,single,81,60,54
female,married,74,80,82
female,married,49,56,57
female,married,91,91,92
male,divorced,76,65,66
female,married,46,67,62
male,married,45,46,42
female,married,26,40,38
male,married,63,55,54
female,married,49,65,61
male,single,63,58,58
male,married,64,63,54
female,married,55,50,56
male,married,51,61,59
male,married,82,70,70
female,divorced,65,82,83
female,divorced,64,96,91
male,married,86,83,86
female,married,74,80,79
male,divorced,71,66,74
male,single,75,75,72
male,married,99,83,81
male,married,44,49,46
male,single,69,69,63
female,married,76,92,93
male,married,77,71,71
female,divorced,59,72,75
female,married,45,53,49
male,married,63,52,48
male,single,63,65,55
male,married,61,48,47
female,married,70,81,80
male,divorced,75,79,72
male,,90,83,84
male,divorced,72,74,80
female,married,44,61,53
male,married,87,77,72
male,divorced,55,52,54
female,married,70,81,85
female,divorced,66,91,87
female,divorced,72,88,84
male,divorced,57,61,58
female,divorced,64,67,58
male,divorced,84,75,79
male,married,93,84,78
female,divorced,57,71,73
female,married,86,86,92
female,divorced,57,73,68
male,single,66,69,70
male,divorced,52,40,46
female,married,79,80,81
male,married,83,80,74
female,divorced,23,31,29
male,married,65,69,64
female,divorced,63,73,73
female,married,80,95,93
female,married,70,74,71
female,single,78,79,79
male,divorced,95,92,90
male,married,51,56,53
female,divorced,100,100,100
female,single,53,54,59
female,married,79,81,85
male,married,53,57,48
male,single,75,71,78
male,single,67,73,67
male,married,81,77,82
female,single,96,89,93
male,,96,84,91
male,married,66,53,50
male,divorced,85,74,78
male,married,47,46,48
male,married,80,72,73
male,married,62,58,62
male,divorced,83,83,75
male,divorced,57,60,52
male,married,90,80,81
male,married,71,70,74
male,married,87,77,80
male,single,79,74,71
female,,86,88,93
male,divorced,52,65,69
male,married,75,68,73
female,married,65,80,79
male,married,73,68,72
female,divorced,41,32,33
male,widowed,70,59,57
male,married,57,50,49
female,married,64,78,78
female,married,51,63,65
female,married,63,81,66
female,married,72,84,81
male,married,62,58,51
male,married,55,58,58
male,widowed,53,45,44
female,widowed,74,77,83
female,married,76,85,89
male,single,52,48,49
male,married,42,26,32
male,married,38,23,27
male,divorced,100,99,100
male,single,58,55,47
male,divorced,46,51,52
female,married,55,62,56
male,married,71,68,64
male,,67,66,65
